NPTDR File Region	NPTDR File Admin Area	NPTDR Operator Code	Code Problem	NPTDR Route Numbers
Great Britain	National	AL	missing	BusRoute 137, BusRoute 149, BusRoute 275, BusRoute 307, BusRoute 379, BusRoute 415, BusRoute 450, BusRoute T31, BusRoute W16, BusRoute 80, BusRoute 80A, BusRoute 80B
Great Britain	National	DDL	missing	BusRoute A1
Great Britain	National	TRST	missing	BusRoute 7, BusRoute 7A, BusRoute 319, BusRoute 354
Great Britain	National	AM	missing	BusRoute 1, BusRoute 3, BusRoute 1A, BusRoute 20, BusRoute 22, BusRoute 3A, BusRoute 3B, BusRoute 3E, BusRoute 3S, BusRoute 4A, BusRoute 213, BusRoute 241, BusRoute 409, BusRoute X38, BusRoute X40, BusRoute 5, BusRoute 6, BusRoute 9, BusRoute 11, BusRoute 14, BusRoute 15, BusRoute 16, BusRoute 26, BusRoute 27, BusRoute 28, BusRoute 29, BusRoute 31, BusRoute 44, BusRoute 47, BusRoute 48, BusRoute 49, BusRoute 50, BusRoute 51, BusRoute 53, BusRoute 56, BusRoute 58, BusRoute 5A, BusRoute 80, BusRoute 84, BusRoute 85, BusRoute 86, BusRoute 87, BusRoute 9A, BusRoute X3, BusRoute 104, BusRoute 126, BusRoute 127, BusRoute 152, BusRoute 153, BusRoute 158, BusRoute 16A, BusRoute 29A, BusRoute 31A, BusRoute 44A, BusRoute 49A, BusRoute 49B, BusRoute 50A, BusRoute 53A, BusRoute 58A, BusRoute 80A, BusRoute 84A, BusRoute 212, BusRoute 294, BusRoute 295
Great Britain	National	ARN	missing	BusRoute 145, BusRoute 306, BusRoute 32, BusRoute 32A, BusRoute 33A, BusRoute 350, BusRoute 351, BusRoute 45, BusRoute 45A, BusRoute 45B, BusRoute 46, BusRoute 46A, BusRoute 499, BusRoute 55, BusRoute 555, BusRoute 56, BusRoute 62B, BusRoute X40, BusRoute X44, BusRoute X8, BusRoute X9, BusRoute 1, BusRoute 10, BusRoute 100, BusRoute 11, BusRoute 144, BusRoute 1A, BusRoute 2, BusRoute 20C, BusRoute 3, BusRoute 308, BusRoute 30C, BusRoute 322, BusRoute 32B, BusRoute 35, BusRoute 41, BusRoute 419, BusRoute 42, BusRoute 43, BusRoute 438, BusRoute 445, BusRoute 472, BusRoute 494, BusRoute 498, BusRoute 501, BusRoute 505, BusRoute 508, BusRoute 518, BusRoute 52, BusRoute 53, BusRoute 562, BusRoute 57, BusRoute 57A, BusRoute 685, BusRoute 714, BusRoute 873, BusRoute X10, BusRoute X11, BusRoute X12, BusRoute X14, BusRoute X15, BusRoute X18, BusRoute X20, BusRoute X21, BusRoute X22, BusRoute X4, BusRoute X5, BusRoute X6, BusRoute X85
Great Britain	National	JBMT	missing	BusRoute 937, BusRoute 938
Great Britain	National	1012	missing	BusRoute 3, BusRoute 11A, BusRoute 14, BusRoute 29A, BusRoute 44, BusRoute 59, BusRoute 59C, BusRoute 61, BusRoute 61C, BusRoute 68, BusRoute 68C, BusRoute 74, BusRoute 84, BusRoute 86, BusRoute 89, BusRoute 113, BusRoute 124, BusRoute 125, BusRoute 126, BusRoute 150, BusRoute 151, BusRoute 327, BusRoute 721, BusRoute 722, BusRoute 741, BusRoute S1, BusRoute X8, BusRoute X61, BusRoute C25, BusRoute 2A, BusRoute 2B, BusRoute 3B, BusRoute 4C, BusRoute 109, BusRoute 114, BusRoute 611, BusRoute C1, BusRoute 2, BusRoute 4A, BusRoute 7, BusRoute 612, BusRoute X2, BusRoute 3A, BusRoute 18, BusRoute 964, BusRoute 16, BusRoute 5, BusRoute 9, BusRoute 11, BusRoute 4, BusRoute 10, BusRoute 1
Great Britain	National	MIL	missing	BusRoute S5, BusRoute 735, BusRoute 736, BusRoute 22, BusRoute 23, BusRoute 37, BusRoute 39, BusRoute 40, BusRoute 77, BusRoute 90, BusRoute 22A, BusRoute 22B, BusRoute 37A, BusRoute 37B, BusRoute 39B, BusRoute 90A, BusRoute X22
Great Britain	National	RBC	missing	BusRoute 561, BusRoute 573, BusRoute 625
Great Britain	National	ASC	missing	BusRoute 825, BusRoute 44, BusRoute 150, BusRoute 370
Great Britain	National	AO	missing	BusRoute 351, BusRoute 389, BusRoute 395, BusRoute 540, BusRoute 545
Great Britain	National	1013	missing	BusRoute 1A, BusRoute 1B, BusRoute 5C, BusRoute 6B, BusRoute 9A, BusRoute 12A, BusRoute 12C, BusRoute 13A, BusRoute 17, BusRoute 17A, BusRoute 18, BusRoute 124, BusRoute 152, BusRoute 225, BusRoute 241, BusRoute 325, BusRoute 352, BusRoute 531, BusRoute 707, BusRoute 805, BusRoute 867, BusRoute 870, BusRoute 871, BusRoute 875, BusRoute 880, BusRoute 888, BusRoute 891, BusRoute 907, BusRoute X40, BusRoute X80, BusRoute C2, BusRoute C5, BusRoute 4, BusRoute 8, BusRoute 13, BusRoute 39, BusRoute 780, BusRoute 869, BusRoute 873, BusRoute 970, BusRoute 973, BusRoute X41, BusRoute C1, BusRoute 2A, BusRoute 5A, BusRoute 12, BusRoute 14, BusRoute 280, BusRoute 314, BusRoute 3, BusRoute 6, BusRoute 7, BusRoute 9, BusRoute 11, BusRoute 21, BusRoute 25, BusRoute 1, BusRoute 2
Great Britain	National	ASD	missing	BusRoute M1, BusRoute 152, BusRoute 154, BusRoute 783
Great Britain	National	TGS	missing	BusRoute 1, BusRoute 5, BusRoute X5, BusRoute 133, BusRoute 301, BusRoute 314, BusRoute 315, BusRoute 346, BusRoute 446, BusRoute 446B
Great Britain	National	LEW	missing	BusRoute 143
Great Britain	National	CAL	missing	FerryRoute CM1, FerryRoute CM2, FerryRoute CM3, FerryRoute CM04, FerryRoute CM5, FerryRoute CM6, FerryRoute CM07, FerryRoute CM8, FerryRoute CM9, FerryRoute CM10, FerryRoute CM11, FerryRoute CM12, FerryRoute CM13, FerryRoute CM14, FerryRoute CM15, FerryRoute CM16, FerryRoute CM17, FerryRoute CM18, FerryRoute CM19, FerryRoute CM20, FerryRoute CM21, FerryRoute CM22, FerryRoute CM23, FerryRoute CM26
Great Britain	National	WRB	missing	BusRoute 15, BusRoute 32, BusRoute 61, BusRoute 62, BusRoute 63, BusRoute 63A, BusRoute 63B, BusRoute 86A, BusRoute 92, BusRoute 737, BusRoute 747, BusRoute 757, BusRoute 781, BusRoute 8, BusRoute 31, BusRoute 90, BusRoute 91, BusRoute 91A, BusRoute 38, BusRoute 85, BusRoute 9
Great Britain	National	NMC	missing	BusRoute 423, BusRoute 440, BusRoute 444
Great Britain	National	BC	missing	BusRoute 47, BusRoute 61, BusRoute 62, BusRoute 2613
Great Britain	National	SDR	missing	TramMetroRoute 400
Great Britain	National	1014	missing	BusRoute 8, BusRoute 11, BusRoute 14, BusRoute 16, BusRoute 19, BusRoute 19A, BusRoute 22, BusRoute 23, BusRoute 31, BusRoute 35, BusRoute 234, BusRoute 236, BusRoute 437, BusRoute 576, BusRoute 584, BusRoute 585, BusRoute 663, BusRoute 676, BusRoute 684, BusRoute 727, BusRoute 767, BusRoute 820, BusRoute 923, BusRoute 964, BusRoute W26, BusRoute 3B, BusRoute 88A, BusRoute 88C, BusRoute 119, BusRoute 656, BusRoute 89, BusRoute 29, BusRoute 1, BusRoute 3A, BusRoute 2
